frame,id,type,x,y,z,kmh,gear
8985,2865,vehicle.bh.crossbike,    92.302,   154.054,     0.003,           0.00,0
8985,2863,vehicle.bh.crossbike,   253.312,   129.625,     0.002,           0.00,0
8985,2856,vehicle.bh.crossbike,   206.799,    55.463,     0.003,           0.00,0
8985,2851,vehicle.bh.crossbike,   392.364,   124.407,     0.002,           0.00,0
8985,2860,vehicle.bh.crossbike,    68.101,     1.979,     0.003,           0.00,0
8985,2871,vehicle.bh.crossbike,   158.044,    20.904,     0.003,           0.00,0
8985,2864,vehicle.bh.crossbike,   179.183,     1.995,     0.002,           0.00,0
8985,2868,vehicle.bh.crossbike,   176.561,    59.644,     0.002,           0.00,0
8985,2451,vehicle.bh.crossbike,     0.757,   162.337,     0.003,           0.00,0
8985,2452,vehicle.bh.crossbike,    81.214,   256.394,     0.034,           0.00,0
8985,2450,vehicle.bh.crossbike,   155.089,   203.099,     0.107,           0.00,0
8985,2449,vehicle.bh.crossbike,   397.438,   237.031,     0.003,           0.00,0
8985,2448,vehicle.bh.crossbike,    -3.992,   110.637,     0.057,           0.00,0
8985,2447,vehicle.bh.crossbike,    -8.828,    97.453,    -0.274,           0.00,0
8985,2446,vehicle.bh.crossbike,   271.042,    56.248,     0.003,           0.00,0
8985,2445,vehicle.bh.crossbike,   128.810,    -6.280,     0.107,           0.00,0
8985,2444,vehicle.bh.crossbike,   144.679,    54.955,     0.003,           0.00,0
8985,2443,vehicle.bh.crossbike,    28.315,     2.122,     0.002,           0.00,0
8985,2442,vehicle.bh.crossbike,   397.540,    64.710,     0.003,           0.00,0
8985,2441,vehicle.bh.crossbike,    77.373,     3.382,     0.003,           0.00,0
8985,2440,vehicle.bh.crossbike,   400.492,   265.647,     0.107,           0.00,0
8985,2439,vehicle.bh.crossbike,   398.851,     4.524,     0.328,           0.00,0
8985,2438,vehicle.bh.crossbike,   401.388,    80.560,     0.107,           0.00,0
8985,2437,vehicle.bh.crossbike,   302.917,    65.179,     0.099,           0.00,0
8985,2436,vehicle.bh.crossbike,   339.013,   240.469,     0.003,           0.00,0
8985,2435,vehicle.bh.crossbike,    95.420,    82.585,     0.107,           0.00,0
